chr_physbin	Chr.x	Species.x	physbin	rate	physbinnum.x	gene_num	Chr.y	physbinnum.y	Species.y
II (0.49,0.5]	II	C. briggsae	(0.49,0.5]	-1.94916049673972e-15	50	23	II	50	C. briggsae
II (0.5,0.51]	II	C. briggsae	(0.5,0.51]	-1.94916049673971e-15	51	72	II	51	C. briggsae
II (0.51,0.52]	II	C. briggsae	(0.51,0.52]	-1.94916049673974e-15	52	49	II	52	C. briggsae
II (0.52,0.53]	II	C. briggsae	(0.52,0.53]	-1.94916049673976e-15	53	23	II	53	C. briggsae
II (0.53,0.54]	II	C. briggsae	(0.53,0.54]	-1.94916049673971e-15	54	43	II	54	C. briggsae
II (0.54,0.55]	II	C. briggsae	(0.54,0.55]	-1.94916049673974e-15	55	43	II	55	C. briggsae
II (0.55,0.56]	II	C. briggsae	(0.55,0.56]	-1.94916049673973e-15	56	23	II	56	C. briggsae
II (0.56,0.57]	II	C. briggsae	(0.56,0.57]	1.20834144137985	57	57	II	57	C. briggsae
II (0.57,0.58]	II	C. briggsae	(0.57,0.58]	-1.87724911430188e-14	58	35	II	58	C. briggsae
II (0.58,0.59]	II	C. briggsae	(0.58,0.59]	-1.87724911430183e-14	59	18	II	59	C. briggsae
II (0.59,0.6]	II	C. briggsae	(0.59,0.6]	-1.87724911430178e-14	60	55	II	60	C. briggsae
II (0.6,0.61]	II	C. briggsae	(0.6,0.61]	-1.87724911430188e-14	61	66	II	61	C. briggsae
II (0.61,0.62]	II	C. briggsae	(0.61,0.62]	1.15551482218149	62	28	II	62	C. briggsae
II (0.62,0.63]	II	C. briggsae	(0.62,0.63]	1.23633206551531e-15	63	43	II	63	C. briggsae
II (0.63,0.64]	II	C. briggsae	(0.63,0.64]	2.07045326296125	64	59	II	64	C. briggsae
II (0.64,0.65]	II	C. briggsae	(0.64,0.65]	-1.34668586444959e-14	65	27	II	65	C. briggsae
II (0.65,0.66]	II	C. briggsae	(0.65,0.66]	-1.34668586444958e-14	66	57	II	66	C. briggsae
II (0.66,0.67]	II	C. briggsae	(0.66,0.67]	0.826078649478625	67	42	II	67	C. briggsae
II (0.67,0.68]	II	C. briggsae	(0.67,0.68]	0.819314957644802	68	29	II	68	C. briggsae
II (0.68,0.69]	II	C. briggsae	(0.68,0.69]	0.45766968200814	69	47	II	69	C. briggsae
II (0.69,0.7]	II	C. briggsae	(0.69,0.7]	7.14398315965915e-15	70	53	II	70	C. briggsae
II (0.7,0.71]	II	C. briggsae	(0.7,0.71]	0.958710261432967	71	20	II	71	C. briggsae
II (0.71,0.72]	II	C. briggsae	(0.71,0.72]	1.03298976935867	72	47	II	72	C. briggsae
II (0.72,0.73]	II	C. briggsae	(0.72,0.73]	0.594275961849993	73	38	II	73	C. briggsae
II (0.73,0.74]	II	C. briggsae	(0.73,0.74]	9.96826350344903e-08	74	35	II	74	C. briggsae
II (0.74,0.75]	II	C. briggsae	(0.74,0.75]	0.604168539796368	75	51	II	75	C. briggsae
II (0.75,0.76]	II	C. briggsae	(0.75,0.76]	1.05664111428974	76	52	II	76	C. briggsae
II (0.76,0.77]	II	C. briggsae	(0.76,0.77]	1.41419159314657e-07	77	25	II	77	C. briggsae
II (0.77,0.78]	II	C. briggsae	(0.77,0.78]	4.71252953373219e-08	78	50	II	78	C. briggsae
II (0.78,0.79]	II	C. briggsae	(0.78,0.79]	1.15340444536018e-07	79	48	II	79	C. briggsae
II (0.79,0.8]	II	C. briggsae	(0.79,0.8]	1.3350989116628	80	28	II	80	C. briggsae
II (0.8,0.81]	II	C. briggsae	(0.8,0.81]	0.953709603818757	81	64	II	81	C. briggsae
II (0.81,0.82]	II	C. briggsae	(0.81,0.82]	1.07747858759468	82	55	II	82	C. briggsae
II (0.82,0.83]	II	C. briggsae	(0.82,0.83]	1.13311269765595	83	29	II	83	C. briggsae
II (0.83,0.84]	II	C. briggsae	(0.83,0.84]	2.7162954324787	84	47	II	84	C. briggsae
II (0.84,0.85]	II	C. briggsae	(0.84,0.85]	0.398337563269465	85	46	II	85	C. briggsae
II (0.85,0.86]	II	C. briggsae	(0.85,0.86]	4.01471555075957	86	24	II	86	C. briggsae
II (0.86,0.87]	II	C. briggsae	(0.86,0.87]	8.49639979547345	87	48	II	87	C. briggsae
II (0.87,0.88]	II	C. briggsae	(0.87,0.88]	16.64850980295	88	47	II	88	C. briggsae
II (0.88,0.89]	II	C. briggsae	(0.88,0.89]	1.04093773980158	89	12	II	89	C. briggsae
II (0.89,0.9]	II	C. briggsae	(0.89,0.9]	5.08159133624905	90	39	II	90	C. briggsae
II (0.9,0.91]	II	C. briggsae	(0.9,0.91]	4.44274522149608	91	30	II	91	C. briggsae
II (0.91,0.92]	II	C. briggsae	(0.91,0.92]	2.6356229273864	92	23	II	92	C. briggsae
II (0.92,0.93]	II	C. briggsae	(0.92,0.93]	3.66368221066537	93	52	II	93	C. briggsae
II (0.93,0.94]	II	C. briggsae	(0.93,0.94]	1.01969314345391	94	34	II	94	C. briggsae
II (0.94,0.95]	II	C. briggsae	(0.94,0.95]	0.428946831388429	95	24	II	95	C. briggsae
II (0.95,0.96]	II	C. briggsae	(0.95,0.96]	7.72980998859754e-07	96	53	II	96	C. briggsae
II (0.96,0.97]	II	C. briggsae	(0.96,0.97]	5.16440630879386e-07	97	26	II	97	C. briggsae
II (0.97,0.98]	II	C. briggsae	(0.97,0.98]	0.141758002616927	98	24	II	98	C. briggsae
II (0.98,0.99]	II	C. briggsae	(0.98,0.99]	0.960917968478732	99	67	II	99	C. briggsae
II (0.99,1]	II	C. briggsae	(0.99,1]	0.94732697238064	100	34	II	100	C. briggsae
III (0,0.01]	III	C. briggsae	(0,0.01]	0	1	44	III	1	C. briggsae
III (0.01,0.02]	III	C. briggsae	(0.01,0.02]	0	2	24	III	2	C. briggsae
III (0.02,0.03]	III	C. briggsae	(0.02,0.03]	0	3	48	III	3	C. briggsae
III (0.03,0.04]	III	C. briggsae	(0.03,0.04]	0	4	21	III	4	C. briggsae
III (0.04,0.05]	III	C. briggsae	(0.04,0.05]	1.29633519443205e-07	5	42	III	5	C. briggsae
III (0.05,0.06]	III	C. briggsae	(0.05,0.06]	-9.20866085515836e-23	6	14	III	6	C. briggsae
III (0.06,0.07]	III	C. briggsae	(0.06,0.07]	1.9354487282044	7	40	III	7	C. briggsae
III (0.07,0.08]	III	C. briggsae	(0.07,0.08]	2.04899775123469	8	14	III	8	C. briggsae
III (0.08,0.09]	III	C. briggsae	(0.08,0.09]	0.6216329247096	9	28	III	9	C. briggsae
III (0.09,0.1]	III	C. briggsae	(0.09,0.1]	3.34622687543553	10	22	III	10	C. briggsae
III (0.1,0.11]	III	C. briggsae	(0.1,0.11]	1.09569664261757	11	32	III	11	C. briggsae
III (0.11,0.12]	III	C. briggsae	(0.11,0.12]	1.07191676934105	12	46	III	12	C. briggsae
III (0.12,0.13]	III	C. briggsae	(0.12,0.13]	2.04014149472091	13	9	III	13	C. briggsae
III (0.13,0.14]	III	C. briggsae	(0.13,0.14]	1.71630183866104	14	47	III	14	C. briggsae
III (0.14,0.15]	III	C. briggsae	(0.14,0.15]	3.89746577880897	15	13	III	15	C. briggsae
III (0.15,0.16]	III	C. briggsae	(0.15,0.16]	0.224081429614376	16	34	III	16	C. briggsae
III (0.16,0.17]	III	C. briggsae	(0.16,0.17]	0.361536774058273	17	22	III	17	C. briggsae
III (0.17,0.18]	III	C. briggsae	(0.17,0.18]	3.73054534265553	18	20	III	18	C. briggsae
III (0.18,0.19]	III	C. briggsae	(0.18,0.19]	2.73496352096425	19	13	III	19	C. briggsae
III (0.19,0.2]	III	C. briggsae	(0.19,0.2]	2.91642293061104	20	15	III	20	C. briggsae
III (0.2,0.21]	III	C. briggsae	(0.2,0.21]	6.29297139089474	21	28	III	21	C. briggsae
III (0.21,0.22]	III	C. briggsae	(0.21,0.22]	-8.66016211559058e-15	22	12	III	22	C. briggsae
III (0.22,0.23]	III	C. briggsae	(0.22,0.23]	0.504007179476015	23	29	III	23	C. briggsae
III (0.23,0.24]	III	C. briggsae	(0.23,0.24]	0.3173954794321	24	15	III	24	C. briggsae
III (0.24,0.25]	III	C. briggsae	(0.24,0.25]	3.28542196614999	25	48	III	25	C. briggsae
III (0.25,0.26]	III	C. briggsae	(0.25,0.26]	2.87311865036851	26	34	III	26	C. briggsae
III (0.26,0.27]	III	C. briggsae	(0.26,0.27]	3.04380756207186	27	37	III	27	C. briggsae
III (0.27,0.28]	III	C. briggsae	(0.27,0.28]	0.315244195320542	28	33	III	28	C. briggsae
III (0.28,0.29]	III	C. briggsae	(0.28,0.29]	1.98594738834974e-07	29	42	III	29	C. briggsae
III (0.29,0.3]	III	C. briggsae	(0.29,0.3]	1.74141300206437e-15	30	29	III	30	C. briggsae
III (0.3,0.31]	III	C. briggsae	(0.3,0.31]	1.71589264466504e-07	31	19	III	31	C. briggsae
III (0.31,0.32]	III	C. briggsae	(0.31,0.32]	2.26343370298248e-07	32	50	III	32	C. briggsae
III (0.32,0.33]	III	C. briggsae	(0.32,0.33]	6.3692722599364e-07	33	28	III	33	C. briggsae
III (0.33,0.34]	III	C. briggsae	(0.33,0.34]	1.4255684882858e-14	34	47	III	34	C. briggsae
III (0.34,0.35]	III	C. briggsae	(0.34,0.35]	5.97287547713268e-08	35	19	III	35	C. briggsae
III (0.35,0.36]	III	C. briggsae	(0.35,0.36]	1.78070134087703e-14	36	54	III	36	C. briggsae
III (0.36,0.37]	III	C. briggsae	(0.36,0.37]	1.78070134087702e-14	37	24	III	37	C. briggsae
III (0.37,0.38]	III	C. briggsae	(0.37,0.38]	1.78070134087701e-14	38	52	III	38	C. briggsae
III (0.38,0.39]	III	C. briggsae	(0.38,0.39]	1.78070134087704e-14	39	27	III	39	C. briggsae
III (0.39,0.4]	III	C. briggsae	(0.39,0.4]	1.78070134087702e-14	40	29	III	40	C. briggsae
