Species	Chr	physbin	rate	value	category	physbin2
C. remanei	V	(0.43,0.44]	1.2611030003684E-14	0.0124158984350087	diversity	0.43
C. remanei	V	(0.44,0.45]	-3.67420392759694E-15	0.0122962781655338	diversity	0.44
C. remanei	V	(0.45,0.46]	4.76213510716014E-14	0.0106392653544965	diversity	0.45
C. remanei	V	(0.46,0.47]	0.177280085000814	0.0107361036254471	diversity	0.46
C. remanei	V	(0.47,0.48]	0.099139789452715	0.00966748735629482	diversity	0.47
C. remanei	V	(0.48,0.49]	-1.46849768406026E-14	0.01574913659122	diversity	0.48
C. remanei	V	(0.49,0.5]	-1.46849768406025E-14	0.0154975392838965	diversity	0.49
C. remanei	V	(0.5,0.51]	-1.46849768406024E-14	0.0136046428281106	diversity	0.5
C. remanei	V	(0.51,0.52]	-1.46849768406026E-14	0.0148159476156763	diversity	0.51
C. remanei	V	(0.52,0.53]	6.79558326850033E-15	0.0114543115928268	diversity	0.52
C. remanei	V	(0.53,0.54]	-5.28741711760296E-15	0.0164009090924806	diversity	0.53
C. remanei	V	(0.54,0.55]	0.87394977196939	0.0165871190852475	diversity	0.54
C. remanei	V	(0.55,0.56]	-1.39124232568891E-14	0.0143849143674434	diversity	0.55
C. remanei	V	(0.56,0.57]	-1.57351023207706E-15	0.016197330052111	diversity	0.56
C. remanei	V	(0.57,0.58]	1.55862964278265E-14	0.0115688207544621	diversity	0.57
C. remanei	V	(0.58,0.59]	1.77936686866019E-14	0.0160326486211709	diversity	0.58
C. remanei	V	(0.59,0.6]	1.77936686866014E-14	0.017546162108321	diversity	0.59
C. remanei	V	(0.6,0.61]	1.77936686866024E-14	0.0222235286019807	diversity	0.6
C. remanei	V	(0.61,0.62]	0.85741018546217	0.0221036043081255	diversity	0.61
C. remanei	V	(0.62,0.63]	1.23685866628592	0.0206134886356908	diversity	0.62
C. remanei	V	(0.63,0.64]	-7.6770803016402E-15	0.0246151080768498	diversity	0.63
C. remanei	V	(0.64,0.65]	0.915895464562076	0.0132795031869132	diversity	0.64
C. remanei	V	(0.65,0.66]	0.212874621272748	0.0147972511309077	diversity	0.65
C. remanei	V	(0.66,0.67]	0.477647309074774	0.0196581103494908	diversity	0.66
C. remanei	V	(0.67,0.68]	0.540895957691651	0.0215016848836097	diversity	0.67
C. remanei	V	(0.68,0.69]	2.83105681066434	0.0199395657312596	diversity	0.68
C. remanei	V	(0.69,0.7]	-1.56207853737707E-14	0.0172146963268892	diversity	0.69
C. remanei	V	(0.7,0.71]	0.438944225689213	0.0218814707520398	diversity	0.7
C. remanei	V	(0.71,0.72]	1.57515289091952E-14	0.0165638148064649	diversity	0.71
C. remanei	V	(0.72,0.73]	1.23471006287347	0.022689611925825	diversity	0.72
C. remanei	V	(0.73,0.74]	1.62728702364693E-14	0.0292294842155101	diversity	0.73
C. remanei	V	(0.74,0.75]	0.305654762269077	0.0225605070731053	diversity	0.74
C. remanei	V	(0.76,0.77]	1.76632217376711	0.0227682485812297	diversity	0.76
C. remanei	V	(0.77,0.78]	1.15312445161754	0.0214723318145874	diversity	0.77
C. remanei	V	(0.78,0.79]	1.67500230225334	0.0218847082604368	diversity	0.78
C. remanei	V	(0.8,0.81]	0.643387614572355	0.0281501391367024	diversity	0.8
C. remanei	V	(0.81,0.82]	7.85070197610802E-14	0.0276027501705485	diversity	0.81
C. remanei	V	(0.82,0.83]	-3.29257308631959E-14	0.0212861727843184	diversity	0.82
C. remanei	V	(0.84,0.85]	2.61994950352935E-15	0.0177601781139169	diversity	0.84
C. remanei	V	(0.85,0.86]	2.61994950352944E-15	0.028226635724158	diversity	0.85
C. remanei	V	(0.87,0.88]	2.42542625465759	0.0281984778248318	diversity	0.87
C. remanei	V	(0.88,0.89]	0.39862501029607	0.0249878193777729	diversity	0.88
C. remanei	V	(0.89,0.9]	8.96571059320512	0.0223563743879347	diversity	0.89
C. remanei	V	(0.9,0.91]	0.916705962421086	0.0177583164459794	diversity	0.9
C. remanei	V	(0.91,0.92]	0.166147302428977	0.0217300382607038	diversity	0.91
C. remanei	V	(0.92,0.93]	-1.18928935460388E-14	0.0194597316472403	diversity	0.92
C. remanei	V	(0.93,0.94]	0.901711698971459	0.026509625954566	diversity	0.93
C. remanei	V	(0.94,0.95]	3.98784016651076	0.0188946912580443	diversity	0.94
C. remanei	V	(0.95,0.96]	2.9020606825595	0.0250498920552493	diversity	0.95
C. remanei	V	(0.96,0.97]	4.45025334623213	0.0183366873971886	diversity	0.96
C. remanei	V	(0.97,0.98]	2.02077540320049	0.0221267045367338	diversity	0.97
C. remanei	V	(0.98,0.99]	1.49519497211345	0.0167732132726116	diversity	0.98
C. remanei	V	(0.99,1]	6.72441972581577	0.0150440824655707	diversity	0.99
C. remanei	X	(0,0.01]	0	0.0164465276399578	diversity	0
C. remanei	X	(0.01,0.02]	0	0.0188011067589544	diversity	0.01
C. remanei	X	(0.02,0.03]	0	0.0110510674236155	diversity	0.02
C. remanei	X	(0.03,0.04]	0	0.0118429982262173	diversity	0.03
C. remanei	X	(0.04,0.05]	0	0.0134394914137092	diversity	0.04
C. remanei	X	(0.05,0.06]	5.42565451664963	0.0186316871875468	diversity	0.05
C. remanei	X	(0.06,0.07]	2.90202277972311E-15	0.0142602914373653	diversity	0.06
C. remanei	X	(0.07,0.08]	2.90202277972313E-15	0.014519216366623	diversity	0.07
C. remanei	X	(0.08,0.09]	1.91513954401164	0.0164606619020703	diversity	0.08
C. remanei	X	(0.09,0.1]	1.61836072564791	0.020853752437838	diversity	0.09
C. remanei	X	(0.1,0.11]	1.69016977934466E-15	0.00799295295403235	diversity	0.1
C. remanei	X	(0.11,0.12]	5.39682975772433	0.0163706383681953	diversity	0.11
C. remanei	X	(0.12,0.13]	0.305577720349928	0.00810561010811076	diversity	0.12
C. remanei	X	(0.14,0.15]	3.40984168760502	0.0190352698044974	diversity	0.14
C. remanei	X	(0.18,0.19]	8.23322241979994E-15	0.0139149698292419	diversity	0.18
C. remanei	X	(0.19,0.2]	-2.58752730752214E-16	0.0226143782502387	diversity	0.19
C. remanei	X	(0.2,0.21]	8.2332224198E-15	0.0268852602373977	diversity	0.2
C. remanei	X	(0.21,0.22]	6.54727423492554	0.0198482781709613	diversity	0.21
C. remanei	X	(0.22,0.23]	2.0466348715782	0.0192487025985032	diversity	0.22
C. remanei	X	(0.23,0.24]	6.23378659248273E-15	0.0280256946216936	diversity	0.23
C. remanei	X	(0.24,0.25]	4.8296715691647E-15	0.0260798745962896	diversity	0.24
C. remanei	X	(0.25,0.26]	0.526822764926332	0.017501323403789	diversity	0.25
C. remanei	X	(0.26,0.27]	7.11147211268126	0.0154478037937276	diversity	0.26
C. remanei	X	(0.27,0.28]	8.47321345878707E-15	0.0128594945608191	diversity	0.27
C. remanei	X	(0.28,0.29]	2.8296084453324	0.0100870677343394	diversity	0.28
C. remanei	X	(0.29,0.3]	3.44861356597848	0.0144721772694226	diversity	0.29
C. remanei	X	(0.3,0.31]	-1.55614727538173E-14	0.0109669065155654	diversity	0.3
C. remanei	X	(0.31,0.32]	4.26633159743275	0.00897093765521284	diversity	0.31
C. remanei	X	(0.32,0.33]	-2.46552699941288E-14	0.010931501652963	diversity	0.32
C. remanei	X	(0.33,0.34]	-2.46552699941287E-14	0.0103096580568841	diversity	0.33
C. remanei	X	(0.34,0.35]	1.54242800164744	0.0109268212418643	diversity	0.34
C. remanei	X	(0.35,0.36]	2.09498465799308	0.0109981081596539	diversity	0.35
C. remanei	X	(0.36,0.37]	2.2061932316183	0.00954466630521265	diversity	0.36
C. remanei	X	(0.37,0.38]	1.87791231993748	0.0103072330322338	diversity	0.37
C. remanei	X	(0.38,0.39]	-1.51297927306769E-14	0.0108779079677121	diversity	0.38
C. remanei	X	(0.39,0.4]	4.94367531942201	0.00912563181133708	diversity	0.39
C. remanei	X	(0.4,0.41]	0.178346062444465	0.00827887619326901	diversity	0.4
C. remanei	X	(0.41,0.42]	1.86992562253808E-14	0.00856793473706874	diversity	0.41
C. remanei	X	(0.42,0.43]	2.14755750496531	0.00708882054288547	diversity	0.42
C. remanei	X	(0.43,0.44]	-2.66811281376834E-14	0.0080961242050451	diversity	0.43
C. remanei	X	(0.44,0.45]	1.93590395715718E-14	0.00729567314342422	diversity	0.44
C. remanei	X	(0.45,0.46]	0.813587194643631	0.0100247304268899	diversity	0.45
C. remanei	X	(0.46,0.47]	-2.21765710745547E-14	0.0129299289905372	diversity	0.46
C. remanei	X	(0.47,0.48]	-2.69640425911859E-15	0.0105466938527405	diversity	0.47
C. remanei	X	(0.48,0.49]	1.09802167943377	0.00851673640928293	diversity	0.48
C. remanei	X	(0.49,0.5]	1.27167009401399E-14	0.0104467431643665	diversity	0.49
C. remanei	X	(0.5,0.51]	0.574576593031655	0.0106786691953624	diversity	0.5
C. remanei	X	(0.51,0.52]	1.36776103338777	0.0107057367592473	diversity	0.51
C. remanei	X	(0.52,0.53]	1.11102775052441	0.00977941229096991	diversity	0.52
C. remanei	X	(0.53,0.54]	1.42282626774366	0.010938835983868	diversity	0.53
C. remanei	X	(0.54,0.55]	6.15134037684665E-16	0.0103147865936285	diversity	0.54
C. remanei	X	(0.55,0.56]	0.618900350125641	0.00854055997491212	diversity	0.55
C. remanei	X	(0.56,0.57]	0.572806269849202	0.00689019096102	diversity	0.56
C. remanei	X	(0.57,0.58]	0.694124307454858	0.00867007293985082	diversity	0.57
C. remanei	X	(0.58,0.59]	-5.0361013425031E-14	0.0107777688340841	diversity	0.58
C. remanei	X	(0.59,0.6]	-4.88824992514997E-14	0.00984774325619596	diversity	0.59
C. remanei	X	(0.6,0.61]	6.13205041945E-14	0.012921560823375	diversity	0.6
C. remanei	X	(0.61,0.62]	-8.51881111082946E-15	0.0107729939188754	diversity	0.61
C. remanei	X	(0.62,0.63]	0.486366927495568	0.0140326808114608	diversity	0.62
C. remanei	X	(0.63,0.64]	-3.72957837341563E-14	0.00872500508780502	diversity	0.63
C. remanei	X	(0.64,0.65]	2.06880930479832E-14	0.0109282801617823	diversity	0.64
C. remanei	X	(0.65,0.66]	0	0.0124230914265437	diversity	0.65
C. remanei	X	(0.66,0.67]	-4.3324987735472E-14	0.0155804005318309	diversity	0.66
C. remanei	X	(0.67,0.68]	-1.40303473292951E-13	0.0118575367440562	diversity	0.67
C. remanei	X	(0.68,0.69]	-8.95910918989719E-15	0.010661443820383	diversity	0.68
C. remanei	X	(0.69,0.7]	-1.05886328456815E-13	0.0102311326976024	diversity	0.69
C. remanei	X	(0.7,0.71]	4.48651669732962E-14	0.0139023697107163	diversity	0.7
C. remanei	X	(0.71,0.72]	1.01572406577107	0.0168434863341866	diversity	0.71
C. remanei	X	(0.72,0.73]	1.45679967133665	0.0123966386487647	diversity	0.72
C. remanei	X	(0.73,0.74]	2.86018538797481	0.0122705505899399	diversity	0.73
C. remanei	X	(0.74,0.75]	-2.55168676850615E-14	0.0152176881683121	diversity	0.74
C. remanei	X	(0.75,0.76]	-2.5888185885562E-14	0.0105706539879368	diversity	0.75
C. remanei	X	(0.76,0.77]	-1.21441874403429E-14	0.0142330566227484	diversity	0.76
C. remanei	X	(0.77,0.78]	1.81555795403019	0.0119284444236365	diversity	0.77
C. remanei	X	(0.78,0.79]	-3.02893313917323E-14	0.0152849765544578	diversity	0.78
C. remanei	X	(0.79,0.8]	2.90233719502561E-14	0.0156197200461919	diversity	0.79
C. remanei	X	(0.8,0.81]	0.231977053447471	0.0132842106584211	diversity	0.8
C. remanei	X	(0.81,0.82]	1.18482167801866	0.0111947047913244	diversity	0.81
C. remanei	X	(0.82,0.83]	0.220676243372186	0.0123113416687015	diversity	0.82
C. remanei	X	(0.83,0.84]	1.72113922970119	0.0148781484262473	diversity	0.83
C. remanei	X	(0.84,0.85]	3.91405778422989E-14	0.0129391299969596	diversity	0.84
C. remanei	X	(0.85,0.86]	1.80644032590409E-14	0.0138621449320913	diversity	0.85
C. remanei	X	(0.86,0.87]	1.76719917263489	0.0130044744631345	diversity	0.86
C. remanei	X	(0.87,0.88]	3.18732942770148E-14	0.0158534869663044	diversity	0.87
C. remanei	X	(0.88,0.89]	2.39050597068463E-14	0.016988602471996	diversity	0.88
C. remanei	X	(0.89,0.9]	0.314933902052263	0.021688446074544	diversity	0.89
C. remanei	X	(0.9,0.91]	-5.15068191684108E-14	0.015758575410072	diversity	0.9
C. remanei	X	(0.91,0.92]	2.00066469603103E-14	0.0223510978361383	diversity	0.91
C. remanei	X	(0.92,0.93]	-5.27333113265684E-14	0.0214152665220179	diversity	0.92
C. remanei	X	(0.93,0.94]	2.09633638755034	0.0192078447116225	diversity	0.93
C. remanei	X	(0.94,0.95]	2.02408923999224E-14	0.0205638184993711	diversity	0.94
C. remanei	X	(0.95,0.96]	2.02408923999223E-14	0.0185148585864335	diversity	0.95
C. remanei	X	(0.96,0.97]	1.8277377749315	0.0175313224482091	diversity	0.96
C. remanei	X	(0.97,0.98]	-3.72723055489781E-14	0.0144290417962577	diversity	0.97
C. remanei	X	(0.98,0.99]	-3.72723055489794E-14	0.00865701609531369	diversity	0.98
C. remanei	X	(0.99,1]	7.17117592940042	0.00535600315565338	diversity	0.99
C. inopinata	I	(0,0.01]	0	0.00228888888888889	diversity	0
C. inopinata	I	(0.01,0.02]	0	0.0065421052631579	diversity	0.01
C. inopinata	I	(0.02,0.03]	0	0.00778125	diversity	0.02
C. inopinata	I	(0.03,0.04]	0	0.0104375	diversity	0.03
C. inopinata	I	(0.04,0.05]	0.37204365883664	0.0218	diversity	0.04
C. inopinata	I	(0.05,0.06]	5.86743282062346	0.0114666666666667	diversity	0.05
C. inopinata	I	(0.06,0.07]	0.0563207250476082	0.0111384615384615	diversity	0.06
C. inopinata	I	(0.07,0.08]	0.0396175378189647	0.01246875	diversity	0.07
C. inopinata	I	(0.08,0.09]	1.28064559420919	0.0110941176470588	diversity	0.08
C. inopinata	I	(0.09,0.1]	4.34193779413502	0.0143	diversity	0.09
C. inopinata	I	(0.1,0.11]	0.355006668586325	0.0186764705882353	diversity	0.1
