sp	chrom	w	n	norm	theta
tropicalis	I	2620000	105	0.215106732348112	0.00140588917185847
tropicalis	I	2640000	647	0.216748768472906	0.00876500592331394
tropicalis	I	2660000	457	0.218390804597701	0.00619104746051696
tropicalis	I	2680000	167	0.220032840722496	0.00229058391128713
tropicalis	I	2700000	224	0.221674876847291	0.00299923023329807
tropicalis	I	2720000	42	0.223316912972085	0.000562355668743389
tropicalis	I	2740000	74	0.22495894909688	0.000990817130643114
tropicalis	I	2760000	126	0.226600985221675	0.00168706700623017
tropicalis	I	2780000	57	0.22824302134647	0.000763196979008885
tropicalis	I	2800000	84	0.229885057471264	0.00112471133748678
tropicalis	I	2820000	88	0.231527093596059	0.00119214918276913
tropicalis	I	2840000	118	0.233169129720854	0.00159856367689497
tropicalis	I	2860000	12	0.234811165845649	0.000164592855900872
tropicalis	I	2880000	40	0.236453201970443	0.000548642853002906
tropicalis	I	2900000	168	0.238095238095238	0.00224942267497355
tropicalis	I	2920000	91	0.239737274220033	0.00121843728227734
tropicalis	I	2940000	68	0.241379310344828	0.000910480606536915
tropicalis	I	2960000	133	0.243021346469622	0.00178079295102073
tropicalis	I	2980000	281	0.244663382594417	0.0038067490949787
tropicalis	I	3e+06	712	0.246305418719212	0.00964557066058659
tropicalis	I	3020000	762	0.247947454844007	0.0102027385614872
tropicalis	I	3040000	686	0.249589490968801	0.00918514258947535
tropicalis	I	3060000	952	0.251231527093596	0.0132305293145615
tropicalis	I	3080000	996	0.252873563218391	0.0136612070397723
tropicalis	I	3100000	518	0.254515599343186	0.00701742359857283
tropicalis	I	3120000	344	0.25615763546798	0.00460596071542204
tropicalis	I	3140000	81	0.257799671592775	0.00108454307543368
tropicalis	I	3160000	94	0.25944170771757	0.0012734320815943
tropicalis	I	3180000	161	0.261083743842365	0.00215569673018299
tropicalis	I	3200000	91	0.262725779967159	0.00123279063218171
tropicalis	I	3220000	592	0.264367816091954	0.00792653704514491
